0,1,5,10,10,4,7,6,6,7,6,3,3,2,4,10,4,6,6,7,7,5,7,5,6,6,5,6,5,149.62
35,10,6,9,10,2,2,5,5,7,5,5,10,10,4,3,3,6,2,5,5,5,6,5,10,8,7,5,6,0.99
68,10,6,8,8,4,4,5,6,6,6,10,7,1,9,8,6,5,4,4,5,5,3,6,6,6,6,5,6,2.69
93,1,4,10,10,1,10,10,4,8,8,1,3,4,1,1,7,4,10,10,6,4,8,4,1,7,8,8,4,937.69
132,1,10,8,10,5,5,6,8,4,6,3,9,10,6,6,1,9,2,8,5,6,7,5,6,5,4,4,5,10
171,4,10,10,4,8,6,8,6,3,5,7,7,8,6,6,8,1,7,8,6,4,3,5,2,5,6,7,6,0.89
217,1,1,10,10,10,1,1,6,6,6,3,5,2,6,7,1,9,3,9,4,5,6,3,7,7,5,7,5,24
259,10,5,10,10,2,6,3,6,7,5,10,10,9,4,3,6,4,7,5,5,6,6,5,8,7,4,6,6,9.99
290,3,8,10,6,7,4,10,2,7,6,3,4,2,3,5,3,5,3,8,6,4,4,4,7,6,6,3,3,30.5
328,1,1,10,10,10,1,1,7,5,5,1,8,10,6,8,8,1,7,4,10,7,4,8,1,8,4,5,6,2.5
368,4,10,10,7,7,4,8,5,2,3,6,8,10,3,10,5,7,3,7,6,5,4,5,6,4,6,6,6,1.98
411,6,6,7,1,5,2,6,2,8,1,10,10,5,9,8,2,5,4,6,4,9,6,5,7,9,5,6,6,10
454,1,10,10,1,10,3,10,1,10,10,10,1,6,1,10,1,1,1,4,10,1,4,4,7,7,4,2,1,9.65
493,10,4,4,1,4,3,5,5,10,1,3,7,6,7,10,3,5,4,8,6,5,5,5,3,8,6,5,6,67.94
530,10,5,5,2,5,3,6,5,9,2,10,10,7,7,6,1,6,4,8,5,6,8,5,7,9,3,6,6,1
561,10,7,7,8,5,3,6,5,6,4,6,7,6,4,10,6,7,3,3,5,4,3,6,6,6,6,5,6,0.89
609,1,8,10,6,4,4,9,3,10,10,4,5,5,1,6,3,4,4,5,8,5,8,4,9,5,7,7,5,69.99
648,2,7,10,10,9,7,9,3,5,9,10,8,5,4,6,2,5,4,9,6,5,6,4,6,4,3,3,4,28.14
679,10,5,7,9,3,3,5,5,8,5,2,4,1,6,5,5,6,3,6,5,5,3,6,7,7,7,5,6,25.39
721,1,10,10,1,5,2,10,1,10,10,10,6,4,1,7,5,1,4,2,10,2,5,5,8,6,7,4,1,1.46
756,10,6,6,8,5,3,5,5,5,5,10,8,4,5,7,9,4,7,6,5,4,2,6,5,6,6,5,6,7.28
798,2,8,8,1,9,8,7,6,8,7,5,4,2,5,7,9,1,7,5,7,4,4,5,1,5,9,6,5,34.6
855,8,1,10,10,1,7,1,7,10,3,1,9,4,1,1,4,7,6,5,6,6,8,4,9,7,5,6,6,196.46
898,10,7,5,10,7,3,8,5,4,5,5,8,7,7,9,3,5,2,3,5,6,6,5,6,9,4,6,6,1
932,10,2,10,4,1,5,1,6,5,7,5,3,4,3,8,9,8,1,5,6,7,10,5,7,7,5,6,6,50
966,9,4,7,8,2,3,6,5,8,4,3,7,5,5,5,4,6,3,7,6,5,3,5,7,7,7,5,6,158
1022,9,3,10,10,1,8,1,7,10,4,2,9,3,2,1,2,9,2,4,5,6,7,5,8,7,5,6,6,84.4
1052,4,8,10,7,6,5,8,5,3,5,10,6,2,7,9,4,5,5,8,6,5,4,5,6,6,7,5,4,0.9
1083,10,6,8,10,4,6,4,6,1,10,10,8,8,7,5,1,4,9,1,3,4,4,6,6,7,6,6,6,7.49
1127,1,5,6,1,8,1,6,7,7,1,9,9,3,10,7,4,4,8,10,6,6,6,5,6,5,5,6,5,1
1169,3,7,10,8,4,7,5,6,1,7,3,7,10,3,5,1,9,8,6,4,4,5,5,6,6,5,6,6,10.91
1218,1,1,10,7,6,6,8,6,6,3,7,6,3,5,3,9,1,10,2,9,7,8,8,5,7,4,5,5,316
1247,10,4,5,7,9,10,4,8,7,5,9,9,4,6,7,2,8,1,3,5,5,5,5,1,6,7,6,5,21.66
1280,10,5,1,3,10,10,3,9,5,6,5,6,6,7,10,8,2,5,7,6,4,1,6,9,7,6,5,6,0.99
1316,2,10,10,3,5,3,8,6,5,5,10,9,4,6,2,6,4,5,5,6,5,4,5,8,5,7,7,6,5
1355,1,10,7,1,5,3,7,7,8,7,1,7,8,4,4,6,3,4,5,7,4,3,5,4,6,7,8,7,1
1402,5,8,10,6,7,4,8,5,6,6,1,1,1,6,10,6,3,6,9,5,4,3,5,3,3,6,5,5,1.98
1433,2,9,10,1,6,3,9,4,9,10,10,6,2,3,6,8,1,6,3,8,4,5,5,7,5,8,5,4,1.54
1469,1,10,8,3,3,8,1,1,7,5,10,9,1,8,3,6,6,3,3,1,10,1,5,5,8,7,7,6,79
1504,1,10,9,1,4,2,7,6,10,8,1,1,1,5,9,9,2,5,3,7,4,3,5,5,5,8,6,4,3.84
1545,1,10,8,2,6,4,6,7,8,5,1,4,2,5,3,6,4,5,7,5,4,3,6,3,7,7,7,6,5
