0,1,5,10,10,4,7,6,6,7,6,3,3,2,4,10,4,6,6,7,7,5,7,5,6,6,5,6,5,149.62
68,10,6,8,8,4,4,5,6,6,6,10,7,1,9,8,6,5,4,4,5,5,3,6,6,6,6,5,6,2.69
132,1,10,8,10,5,5,6,8,4,6,3,9,10,6,6,1,9,2,8,5,6,7,5,6,5,4,4,5,10
217,1,1,10,10,10,1,1,6,6,6,3,5,2,6,7,1,9,3,9,4,5,6,3,7,7,5,7,5,24
290,3,8,10,6,7,4,10,2,7,6,3,4,2,3,5,3,5,3,8,6,4,4,4,7,6,6,3,3,30.5
368,4,10,10,7,7,4,8,5,2,3,6,8,10,3,10,5,7,3,7,6,5,4,5,6,4,6,6,6,1.98
454,1,10,10,1,10,3,10,1,10,10,10,1,6,1,10,1,1,1,4,10,1,4,4,7,7,4,2,1,9.65
530,10,5,5,2,5,3,6,5,9,2,10,10,7,7,6,1,6,4,8,5,6,8,5,7,9,3,6,6,1
609,1,8,10,6,4,4,9,3,10,10,4,5,5,1,6,3,4,4,5,8,5,8,4,9,5,7,7,5,69.99
679,10,5,7,9,3,3,5,5,8,5,2,4,1,6,5,5,6,3,6,5,5,3,6,7,7,7,5,6,25.39
756,10,6,6,8,5,3,5,5,5,5,10,8,4,5,7,9,4,7,6,5,4,2,6,5,6,6,5,6,7.28
855,8,1,10,10,1,7,1,7,10,3,1,9,4,1,1,4,7,6,5,6,6,8,4,9,7,5,6,6,196.46
932,10,2,10,4,1,5,1,6,5,7,5,3,4,3,8,9,8,1,5,6,7,10,5,7,7,5,6,6,50
1022,9,3,10,10,1,8,1,7,10,4,2,9,3,2,1,2,9,2,4,5,6,7,5,8,7,5,6,6,84.4
1083,10,6,8,10,4,6,4,6,1,10,10,8,8,7,5,1,4,9,1,3,4,4,6,6,7,6,6,6,7.49
1169,3,7,10,8,4,7,5,6,1,7,3,7,10,3,5,1,9,8,6,4,4,5,5,6,6,5,6,6,10.91
1247,10,4,5,7,9,10,4,8,7,5,9,9,4,6,7,2,8,1,3,5,5,5,5,1,6,7,6,5,21.66
1316,2,10,10,3,5,3,8,6,5,5,10,9,4,6,2,6,4,5,5,6,5,4,5,8,5,7,7,6,5
1402,5,8,10,6,7,4,8,5,6,6,1,1,1,6,10,6,3,6,9,5,4,3,5,3,3,6,5,5,1.98
1469,1,10,8,3,3,8,1,1,7,5,10,9,1,8,3,6,6,3,3,1,10,1,5,5,8,7,7,6,79
1545,1,10,8,2,6,4,6,7,8,5,1,4,2,5,3,6,4,5,7,5,4,3,6,3,7,7,7,6,5
1617,1,10,5,2,1,2,3,10,7,8,8,9,2,9,2,7,6,5,5,7,5,4,6,8,6,7,8,7,1
1721,1,6,10,10,5,5,10,5,1,5,3,8,9,4,1,5,5,3,3,8,6,5,8,8,5,5,6,6,238.88
1844,10,3,6,7,10,10,1,10,10,5,3,7,6,3,7,8,2,9,5,6,6,7,5,10,8,5,6,6,39.9
1960,10,7,6,8,5,3,5,5,5,5,10,8,5,5,7,9,4,7,6,5,4,2,6,5,6,6,5,6,1.98
2073,8,1,10,10,1,8,4,7,8,5,10,10,3,5,2,4,6,5,4,7,6,5,5,6,6,4,6,6,278
2130,10,4,10,7,1,5,3,6,10,3,5,10,10,3,5,3,7,1,5,6,5,5,6,8,6,9,5,6,43.84
2242,1,10,10,1,4,4,7,5,10,2,3,7,2,3,5,3,4,4,1,5,6,8,4,6,9,2,3,7,12.14
2362,3,6,10,5,9,10,5,7,7,3,4,5,1,4,3,8,2,8,4,5,5,5,4,1,8,4,5,4,12.99
2441,1,10,10,6,5,5,7,7,6,5,3,8,8,4,5,3,7,1,5,6,5,5,5,6,5,6,6,5,17.15
2552,8,1,4,5,1,2,7,4,2,7,3,6,8,6,5,1,7,8,3,7,5,2,4,7,7,10,5,6,461.45
2663,1,10,10,10,1,10,1,1,6,5,1,10,6,3,1,4,10,6,8,10,1,10,5,9,6,7,4,4,18.96
2786,4,8,9,1,7,2,10,4,8,2,10,9,4,7,6,4,2,8,7,6,6,8,4,6,6,2,6,5,1
2847,10,6,7,10,6,7,5,6,6,6,9,10,5,6,2,4,5,4,6,5,5,5,5,4,8,4,6,6,23.26
2923,1,1,8,1,5,1,8,4,5,2,1,2,1,6,7,1,6,10,6,3,4,3,5,5,9,6,5,6,202.41
2993,1,10,9,1,5,4,10,3,10,10,10,9,7,1,7,4,1,3,1,10,3,5,5,6,6,8,6,2,0.92
3081,1,10,1,7,6,1,10,4,10,10,10,5,6,1,10,4,10,7,1,10,1,4,7,5,7,3,9,3,0.89
3169,3,7,10,8,5,5,7,6,5,3,4,5,2,6,8,1,9,2,9,6,5,4,5,7,5,7,6,6,25.17
3313,3,9,9,9,5,8,7,8,4,3,4,6,3,8,3,6,4,9,10,6,5,4,5,2,5,4,6,6,76.98
3483,1,10,8,7,8,10,7,7,6,9,7,5,2,7,10,1,10,1,1,5,7,9,6,2,3,4,4,7,27
3641,1,10,2,5,10,10,5,9,9,8,9,1,10,10,10,5,8,8,10,5,5,5,5,10,5,7,2,7,83.47
3741,10,4,7,7,6,10,3,6,10,4,10,1,10,10,6,10,4,9,5,6,5,5,5,1,7,7,5,6,97.85
3750,10,3,8,3,1,4,2,6,8,7,10,1,2,10,5,10,10,1,7,5,5,3,6,6,5,3,5,6,15
3758,10,3,2,1,10,10,1,8,7,7,10,1,10,10,7,10,7,2,9,6,4,2,6,9,7,3,5,6,24.65
3767,10,3,2,1,10,10,1,8,7,7,10,1,10,10,7,10,7,2,9,6,4,2,6,9,7,3,5,6,16.8
3808,3,10,10,6,6,5,8,5,10,5,10,1,9,10,8,3,9,1,1,6,4,3,6,5,4,6,6,5,11.55
3958,1,3,10,1,10,8,4,1,7,7,9,1,10,8,1,1,6,10,2,1,8,1,5,1,7,6,5,5,28
4127,1,10,10,7,3,1,7,6,8,2,10,1,10,10,6,6,8,4,4,6,4,2,6,9,6,5,5,6,2.74
4280,9,4,10,10,3,10,1,8,10,2,10,1,10,9,8,1,10,1,1,5,6,10,6,3,6,5,6,6,51.48
4433,10,5,10,10,2,7,3,6,10,2,6,1,8,9,1,1,10,1,5,4,3,2,6,7,7,3,6,6,22.45
4571,9,5,7,10,5,5,6,5,10,3,7,1,10,10,2,3,10,3,3,6,5,4,5,6,8,4,5,6,133.73
4766,1,10,10,10,8,5,8,4,10,8,7,1,10,9,3,1,10,3,6,6,4,6,5,6,5,4,6,6,27.34
4976,2,6,10,1,3,6,6,5,8,4,2,1,10,7,1,1,6,10,1,3,4,4,5,4,5,8,5,6,75.92
5183,10,3,10,2,1,3,3,5,10,1,7,1,10,9,3,2,9,5,9,5,4,4,5,7,7,5,6,6,46.68
5360,10,6,10,10,2,8,1,7,10,7,10,1,9,10,6,10,5,9,1,5,6,8,6,6,6,6,6,6,12.14
5550,10,7,7,9,4,1,5,4,10,3,9,1,10,10,7,7,8,5,4,5,4,1,6,7,6,6,5,6,5.49
5766,10,5,8,5,3,5,3,5,5,7,10,1,10,10,4,1,8,10,1,3,4,3,6,6,6,7,5,6,9.99
5989,4,9,10,7,7,6,6,6,8,3,10,1,5,10,7,6,9,8,7,5,4,3,6,4,2,6,6,6,8.99
6240,1,8,10,2,8,9,7,7,10,5,10,1,10,10,5,9,3,8,3,7,4,3,4,1,7,7,5,5,99.99
6467,5,5,10,2,1,3,5,4,9,5,7,1,10,7,1,8,10,2,8,6,6,9,4,8,6,5,5,5,9.83
6736,10,7,8,9,4,2,5,4,10,4,8,1,10,10,7,7,7,4,4,5,4,2,6,7,6,6,5,6,1.98
6980,9,3,9,10,3,7,4,5,10,2,7,1,10,9,1,2,10,2,4,6,5,5,5,6,7,7,5,6,187.73
7232,2,10,10,10,4,3,7,5,10,3,8,1,10,10,2,2,10,4,7,5,5,4,5,9,4,3,4,5,0.75
7445,1,6,10,10,10,6,4,7,10,3,1,1,9,9,1,10,4,8,1,5,5,4,5,3,6,5,6,6,11.41
7601,3,9,10,9,5,6,7,6,10,2,9,1,5,10,9,4,9,4,1,5,5,5,6,5,4,3,6,6,36
7819,4,2,10,1,1,5,6,5,2,7,6,1,10,9,5,5,10,9,3,6,6,7,7,7,5,5,5,6,249
8102,10,6,7,8,5,5,5,5,10,5,10,1,9,10,5,9,5,8,7,5,4,1,6,3,6,6,5,5,0.89
8397,4,1,7,10,3,10,7,5,9,6,1,1,10,8,1,10,5,8,1,10,7,4,1,2,7,6,5,6,834.15
8610,3,10,4,6,10,3,8,7,9,1,2,1,7,7,4,10,9,10,1,4,5,4,4,1,5,3,6,6,1
8976,1,10,10,6,6,3,8,5,10,5,10,1,10,9,7,5,9,4,3,7,4,2,6,5,5,6,8,7,5.37
9208,3,6,10,1,3,1,10,4,10,1,10,1,10,10,6,3,8,5,5,6,5,4,7,9,5,4,6,6,160.86
9340,10,7,7,9,5,3,5,5,10,3,10,1,10,10,8,6,9,4,2,5,4,2,6,5,6,6,5,6,0.99
9506,10,5,2,1,10,10,2,9,10,3,9,1,10,10,8,8,5,7,6,6,4,2,6,9,7,9,5,5,3.84
9834,10,5,9,10,3,4,4,5,10,3,8,1,9,10,3,3,10,2,4,5,4,2,6,7,6,6,5,6,34.77
10040,6,9,10,8,4,2,7,3,10,5,10,1,10,10,9,3,9,5,10,6,5,7,7,8,1,9,5,6,14.01
10285,10,1,10,4,1,6,1,6,10,7,10,1,10,10,2,10,8,5,8,7,7,8,5,5,7,5,5,6,132.73
10549,10,5,8,6,2,3,4,5,10,3,10,1,9,10,1,5,8,5,8,5,4,3,6,8,6,10,5,5,29.54
10749,1,5,10,3,5,4,5,6,10,2,10,1,7,10,1,8,6,9,4,6,5,7,5,8,6,9,6,5,17
10906,1,10,1,10,3,2,3,10,7,5,7,1,10,10,5,3,10,4,4,5,6,8,7,6,3,4,7,6,1.99
10965,10,5,9,7,2,3,4,5,10,4,10,1,10,10,5,8,6,8,5,5,6,6,5,8,6,9,5,6,39
10998,10,5,8,6,3,4,3,6,10,4,10,1,7,10,6,9,6,9,6,5,5,6,5,5,6,10,5,5,15.95
11030,10,6,9,6,3,4,4,5,10,4,10,1,10,10,5,8,5,8,6,6,5,6,5,6,7,10,5,5,15.95
11055,4,8,10,6,5,3,7,4,10,4,8,1,10,10,8,5,7,7,7,6,6,8,5,7,2,9,5,5,15.95
11116,6,7,5,3,10,10,4,7,10,6,9,1,10,10,10,5,7,8,10,7,5,5,6,10,1,9,4,6,3.19
11301,1,10,10,1,6,3,8,5,10,6,10,1,10,10,2,8,4,7,3,7,4,4,5,5,5,8,7,6,26
11461,3,8,10,4,5,5,6,5,10,3,10,1,8,10,1,5,8,7,9,5,5,5,5,6,5,10,4,5,9.9
11661,10,5,9,7,2,2,4,5,10,3,8,1,10,10,1,4,10,3,6,5,5,5,5,9,7,10,5,5,19
11854,5,10,8,9,5,3,6,6,10,2,10,1,10,4,1,4,10,5,2,6,4,5,6,7,4,7,7,6,12.31
12065,10,5,6,5,5,7,4,6,10,3,8,1,10,10,1,6,6,8,10,5,4,4,5,2,8,10,5,5,12.05
12275,10,5,8,6,3,5,4,5,10,3,10,1,9,10,1,5,8,7,8,5,5,4,5,6,7,10,5,5,4.9
12593,1,10,6,10,1,10,1,1,10,10,10,1,10,10,1,3,10,7,8,1,10,3,8,6,1,2,1,5,1
12975,10,7,9,10,4,3,6,5,10,4,10,1,10,10,7,4,8,3,1,5,5,7,5,8,8,4,6,6,4
13288,10,5,9,6,3,5,3,6,10,4,10,1,10,10,6,7,7,5,4,5,5,3,6,6,5,8,5,6,28.43
13536,3,10,10,5,9,1,10,5,6,1,10,1,10,7,1,8,10,9,2,5,5,5,4,7,6,6,6,6,0.76
13908,1,10,10,10,3,4,5,9,8,2,6,1,10,10,2,3,10,5,8,6,4,3,5,7,8,4,6,6,29.33
14264,10,6,8,5,4,4,4,5,10,4,10,1,10,10,5,8,5,7,6,5,5,4,6,6,6,9,5,5,3.81
14444,10,5,9,6,3,5,3,6,10,4,10,1,10,10,6,7,7,6,3,5,6,7,6,6,6,10,5,5,14.95
14478,10,5,9,7,3,4,4,5,10,3,9,1,10,10,9,6,8,4,2,5,5,6,5,6,6,10,5,6,39
14514,10,5,8,6,3,6,3,6,10,4,10,1,9,10,6,8,7,7,4,5,5,6,5,4,6,10,5,5,15.95
14747,10,6,10,10,2,8,1,7,10,7,10,1,9,10,6,10,5,9,1,5,6,8,6,6,6,6,6,6,12.16
15152,9,8,8,10,6,5,7,5,7,6,9,1,10,10,1,4,9,2,1,5,5,5,5,7,8,6,5,6,75.84
15476,2,10,10,9,7,5,9,3,10,6,9,1,10,10,8,2,8,5,5,5,6,8,5,6,4,4,2,5,52.9
15993,9,8,8,10,8,10,4,7,10,3,10,1,10,7,4,2,10,1,1,4,5,6,6,2,6,6,6,6,7.58
16484,10,7,8,10,3,1,5,4,10,3,10,1,10,10,7,7,9,5,3,5,4,2,6,9,6,6,5,6,4.49
16932,5,6,10,1,4,2,7,3,10,1,9,1,10,8,7,1,9,8,10,6,6,10,4,7,6,3,4,4,7.58
17424,10,8,6,10,5,1,7,4,10,4,9,1,10,10,5,4,8,5,3,5,5,5,5,8,9,4,5,6,1
17915,1,10,1,10,1,10,10,10,3,1,6,1,10,10,10,10,10,10,7,1,4,6,7,9,1,5,1,1,1264.35
18237,5,6,10,1,2,5,3,3,10,1,8,1,9,10,7,4,8,6,2,4,8,4,4,6,10,3,6,6,11.85
18542,10,5,10,8,2,4,3,5,10,3,8,1,10,9,2,5,8,5,5,5,5,7,5,7,7,10,5,6,11.45
18807,3,7,10,1,4,5,7,5,10,1,7,1,8,10,7,3,8,6,3,5,5,6,4,6,7,2,5,5,11.85
19059,10,4,9,3,5,10,2,7,10,1,10,2,10,10,10,1,10,1,1,5,5,8,6,2,6,3,6,6,11.85
19299,3,6,10,6,4,2,5,5,10,1,8,1,10,9,2,4,9,5,5,6,6,8,5,9,4,10,6,6,24.57
19526,10,2,8,1,1,2,1,5,3,10,10,1,9,10,2,5,10,9,5,4,4,4,6,7,7,4,5,6,15
19776,10,4,9,2,2,6,2,6,10,1,10,1,10,10,6,4,8,8,7,5,5,6,5,4,7,3,6,6,11.85
19897,10,4,6,3,5,8,2,6,8,6,10,1,10,9,1,9,9,1,10,6,5,5,5,1,8,5,6,5,5
19906,3,6,10,1,5,4,5,6,6,4,10,1,6,10,1,10,9,3,8,5,5,5,4,5,8,4,5,6,5
19914,10,4,7,3,3,6,2,5,8,7,10,1,10,10,1,9,9,3,10,6,5,5,5,3,8,5,5,5,5
20103,9,3,10,10,1,10,1,8,10,5,8,1,8,8,1,6,9,7,3,5,6,8,5,4,7,6,6,6,109.28
20363,4,4,9,1,9,9,5,6,10,1,7,1,8,10,4,6,4,10,7,4,5,7,6,1,2,2,6,5,11.85
20623,10,4,10,3,2,6,2,6,10,1,10,2,10,10,6,3,8,8,7,5,5,7,5,5,7,3,6,6,3.7
20879,10,6,9,10,3,5,4,6,10,5,10,1,10,10,5,9,5,10,4,5,5,4,6,5,7,3,6,6,29.99
21173,9,6,5,10,8,8,6,6,10,3,10,1,6,10,10,1,10,1,1,4,6,7,5,3,7,5,6,6,89.99
21408,3,7,10,1,5,6,7,5,10,1,7,1,10,9,6,3,7,6,4,5,5,6,4,4,7,2,5,5,11.85
21638,10,7,9,9,3,3,5,5,10,4,10,1,10,10,4,7,6,6,5,5,4,2,6,7,6,5,5,6,8.65
