occurrences,pct,param1,param2,value1,value2,nrn
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,7,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,10,35953,10,2843
0,0.0,406,10,59669,10,2843
0,0.0,406,10,93853,10,2843
0,0.0,406,10,139951,5,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,10,35953,10,2843
0,0.0,406,10,59669,10,2843
0,0.0,406,10,93853,10,2843
0,0.0,406,10,139951,10,2843
0,0.0,406,3,35953,1,2843
0,0.0,406,3,59669,1,2843
0,0.0,406,3,93853,1,2843
0,0.0,406,3,139951,1,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,8,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,10,35953,10,2843
0,0.0,406,10,59669,8,2843
0,0.0,406,10,93853,10,2843
0,0.0,406,10,139951,10,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,10,35953,10,2843
0,0.0,406,10,59669,10,2843
0,0.0,406,10,93853,10,2843
0,0.0,406,10,139951,10,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,3,35953,10,2843
0,0.0,406,3,59669,1,2843
0,0.0,406,3,93853,6,2843
0,0.0,406,3,139951,2,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,7,35953,6,2843
0,0.0,406,7,59669,8,2843
0,0.0,406,7,93853,8,2843
0,0.0,406,7,139951,8,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,1,35953,1,2843
0,0.0,406,1,59669,1,2843
0,0.0,406,1,93853,1,2843
0,0.0,406,1,139951,1,2843
0,0.0,406,5,35953,1,2843
0,0.0,406,5,59669,3,2843
0,0.0,406,5,93853,1,2843
0,0.0,406,5,139951,1,2843
0,0.0,406,7,35953,10,2843
0,0.0,406,7,59669,6,2843
0,0.0,406,7,93853,10,2843
0,0.0,406,7,139951,5,2843
0,0.0,406,6,35953,7,2843
0,0.0,406,6,59669,6,2843
0,0.0,406,6,93853,6,2843
0,0.0,406,6,139951,10,2843
0,0.0,406,8,35953,10,2843
0,0.0,406,8,59669,8,2843
0,0.0,406,8,93853,10,2843
0,0.0,406,8,139951,10,2843
0,0.0,406,5,35953,2,2843
0,0.0,406,5,59669,6,2843
0,0.0,406,5,93853,10,2843
0,0.0,406,5,139951,9,2843
0,0.0,406,4,35953,6,2843
0,0.0,406,4,59669,5,2843
0,0.0,406,4,93853,8,2843
0,0.0,406,4,139951,10,2843
0,0.0,406,7,35953,5,2843
0,0.0,406,7,59669,7,2843
0,0.0,406,7,93853,7,2843
0,0.0,406,7,139951,1,2843
0,0.0,406,6,35953,4,2843
0,0.0,406,6,59669,8,2843
0,0.0,406,6,93853,4,2843
0,0.0,406,6,139951,8,2843
0,0.0,406,6,35953,4,2843
0,0.0,406,6,59669,5,2843
0,0.0,406,6,93853,7,2843
0,0.0,406,6,139951,6,2843
0,0.0,406,7,35953,6,2843
0,0.0,406,7,59669,8,2843
0,0.0,406,7,93853,6,2843
0,0.0,406,7,139951,8,2843
0,0.0,406,5,35953,7,2843
0,0.0,406,5,59669,7,2843
0,0.0,406,5,93853,7,2843
0,0.0,406,5,139951,6,2843
0,0.0,406,0,35953,111.7,2843
0,0.0,406,0,59669,6.27,2843
0,0.0,406,0,93853,316.06,2843
0,0.0,406,0,139951,723.21,2843
