occurrences,pct,param1,param2,value1,value2,nrn
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,7,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,8,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,10,5686
0,0.0,406,10,20332,10,5686
0,0.0,406,10,35953,10,5686
0,0.0,406,10,45463,10,5686
0,0.0,406,10,59669,10,5686
0,0.0,406,10,76826,10,5686
0,0.0,406,10,93853,10,5686
0,0.0,406,10,109297,10,5686
0,0.0,406,10,139951,5,5686
0,0.0,406,10,153761,10,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,10,20332,10,5686
0,0.0,406,10,35953,10,5686
0,0.0,406,10,45463,10,5686
1,0.00017587055926837847,406,10,59669,10,5686
0,0.0,406,10,76826,10,5686
0,0.0,406,10,93853,10,5686
0,0.0,406,10,109297,10,5686
0,0.0,406,10,139951,10,5686
0,0.0,406,10,153761,10,5686
0,0.0,406,3,20332,1,5686
0,0.0,406,3,35953,1,5686
0,0.0,406,3,45463,4,5686
0,0.0,406,3,59669,1,5686
0,0.0,406,3,76826,1,5686
0,0.0,406,3,93853,1,5686
0,0.0,406,3,109297,8,5686
0,0.0,406,3,139951,1,5686
0,0.0,406,3,153761,4,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,3,5686
0,0.0,406,1,139951,8,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,10,20332,8,5686
0,0.0,406,10,35953,10,5686
0,0.0,406,10,45463,3,5686
0,0.0,406,10,59669,8,5686
0,0.0,406,10,76826,10,5686
0,0.0,406,10,93853,10,5686
0,0.0,406,10,109297,9,5686
0,0.0,406,10,139951,10,5686
0,0.0,406,10,153761,7,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,10,20332,10,5686
0,0.0,406,10,35953,10,5686
0,0.0,406,10,45463,10,5686
0,0.0,406,10,59669,10,5686
0,0.0,406,10,76826,10,5686
0,0.0,406,10,93853,10,5686
0,0.0,406,10,109297,10,5686
0,0.0,406,10,139951,10,5686
0,0.0,406,10,153761,10,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,3,20332,8,5686
0,0.0,406,3,35953,10,5686
0,0.0,406,3,45463,1,5686
0,0.0,406,3,59669,1,5686
0,0.0,406,3,76826,7,5686
0,0.0,406,3,93853,6,5686
0,0.0,406,3,109297,8,5686
0,0.0,406,3,139951,2,5686
0,0.0,406,3,153761,3,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,7,20332,4,5686
0,0.0,406,7,35953,6,5686
0,0.0,406,7,45463,5,5686
0,0.0,406,7,59669,8,5686
0,0.0,406,7,76826,10,5686
0,0.0,406,7,93853,8,5686
0,0.0,406,7,109297,1,5686
0,0.0,406,7,139951,8,5686
0,0.0,406,7,153761,6,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,1,20332,1,5686
0,0.0,406,1,35953,1,5686
0,0.0,406,1,45463,1,5686
0,0.0,406,1,59669,1,5686
0,0.0,406,1,76826,1,5686
0,0.0,406,1,93853,1,5686
0,0.0,406,1,109297,1,5686
0,0.0,406,1,139951,1,5686
0,0.0,406,1,153761,1,5686
0,0.0,406,5,20332,1,5686
0,0.0,406,5,35953,1,5686
0,0.0,406,5,45463,2,5686
0,0.0,406,5,59669,3,5686
0,0.0,406,5,76826,1,5686
0,0.0,406,5,93853,1,5686
0,0.0,406,5,109297,2,5686
0,0.0,406,5,139951,1,5686
0,0.0,406,5,153761,6,5686
0,0.0,406,7,20332,8,5686
0,0.0,406,7,35953,10,5686
0,0.0,406,7,45463,4,5686
0,0.0,406,7,59669,6,5686
0,0.0,406,7,76826,10,5686
0,0.0,406,7,93853,10,5686
0,0.0,406,7,109297,3,5686
0,0.0,406,7,139951,5,5686
0,0.0,406,7,153761,4,5686
0,0.0,406,6,20332,9,5686
0,0.0,406,6,35953,7,5686
0,0.0,406,6,45463,7,5686
0,0.0,406,6,59669,6,5686
0,0.0,406,6,76826,3,5686
0,0.0,406,6,93853,6,5686
0,0.0,406,6,109297,7,5686
0,0.0,406,6,139951,10,5686
0,0.0,406,6,153761,7,5686
0,0.0,406,8,20332,1,5686
0,0.0,406,8,35953,10,5686
0,0.0,406,8,45463,10,5686
0,0.0,406,8,59669,8,5686
0,0.0,406,8,76826,10,5686
0,0.0,406,8,93853,10,5686
0,0.0,406,8,109297,7,5686
