occurrences,pct,param,value,nrn
0,0.0,406,35953,2843
0,0.0,406,59669,2843
0,0.0,406,93853,2843
0,0.0,406,139951,2843
608,0.21385860007034824,1,1,2843
25,0.008793527963418923,1,7,2843
608,0.21385860007034824,1,1,2843
608,0.21385860007034824,1,1,2843
510,0.17938797045374605,10,10,2843
510,0.17938797045374605,10,10,2843
510,0.17938797045374605,10,10,2843
338,0.11888849806542384,10,5,2843
651,0.22898346816742876,1,1,2843
651,0.22898346816742876,1,1,2843
651,0.22898346816742876,1,1,2843
651,0.22898346816742876,1,1,2843
572,0.20119591980302498,10,10,2843
572,0.20119591980302498,10,10,2843
572,0.20119591980302498,10,10,2843
572,0.20119591980302498,10,10,2843
454,0.15969046781568766,3,1,2843
454,0.15969046781568766,3,1,2843
454,0.15969046781568766,3,1,2843
454,0.15969046781568766,3,1,2843
406,0.14280689412592332,1,1,2843
406,0.14280689412592332,1,1,2843
406,0.14280689412592332,1,1,2843
130,0.0457263454097784,1,8,2843
315,0.11079845233907844,1,1,2843
315,0.11079845233907844,1,1,2843
315,0.11079845233907844,1,1,2843
315,0.11079845233907844,1,1,2843
160,0.056278578965881114,10,10,2843
207,0.07281041153710868,10,8,2843
160,0.056278578965881114,10,10,2843
160,0.056278578965881114,10,10,2843
425,0.1494899753781217,1,1,2843
425,0.1494899753781217,1,1,2843
425,0.1494899753781217,1,1,2843
425,0.1494899753781217,1,1,2843
272,0.09567358424199789,1,1,2843
272,0.09567358424199789,1,1,2843
272,0.09567358424199789,1,1,2843
272,0.09567358424199789,1,1,2843
493,0.17340837143862117,10,10,2843
493,0.17340837143862117,10,10,2843
493,0.17340837143862117,10,10,2843
493,0.17340837143862117,10,10,2843
334,0.11748153359127682,1,1,2843
334,0.11748153359127682,1,1,2843
334,0.11748153359127682,1,1,2843
334,0.11748153359127682,1,1,2843
445,0.15652479774885683,3,10,2843
451,0.15863524446007737,3,1,2843
318,0.11185367569468871,3,6,2843
188,0.0661273302849103,3,2,2843
274,0.0963770664790714,1,1,2843
274,0.0963770664790714,1,1,2843
274,0.0963770664790714,1,1,2843
274,0.0963770664790714,1,1,2843
328,0.11537108688005628,7,6,2843
250,0.08793527963418923,7,8,2843
250,0.08793527963418923,7,8,2843
250,0.08793527963418923,7,8,2843
321,0.11290889905029898,1,1,2843
321,0.11290889905029898,1,1,2843
321,0.11290889905029898,1,1,2843
321,0.11290889905029898,1,1,2843
123,0.043264157580021105,1,1,2843
123,0.043264157580021105,1,1,2843
123,0.043264157580021105,1,1,2843
123,0.043264157580021105,1,1,2843
290,0.10200492437565951,5,1,2843
263,0.09250791417516707,5,3,2843
290,0.10200492437565951,5,1,2843
290,0.10200492437565951,5,1,2843
264,0.09285965529370384,7,10,2843
472,0.1660218079493493,7,6,2843
264,0.09285965529370384,7,10,2843
396,0.13928948294055576,7,5,2843
205,0.07210692930003518,6,7,2843
697,0.2451635596201196,6,6,2843
697,0.2451635596201196,6,6,2843
103,0.036229335209285965,6,10,2843
57,0.020049243756595145,8,10,2843
80,0.028139289482940557,8,8,2843
57,0.020049243756595145,8,10,2843
57,0.020049243756595145,8,10,2843
248,0.08723179739711573,5,2,2843
355,0.12486809708054872,5,6,2843
253,0.0889905029897995,5,10,2843
221,0.07773478719662329,5,9,2843
935,0.32887794583186775,4,6,2843
1068,0.37565951459725644,4,5,2843
43,0.015124868097080548,4,8,2843
44,0.015476609215617306,4,10,2843
386,0.13577207175518818,7,5,2843
404,0.1421034118888498,7,7,2843
404,0.1421034118888498,7,7,2843
234,0.08230742173760112,7,1,2843
486,0.17094618360886388,6,4,2843
276,0.09708054871614492,6,8,2843
486,0.17094618360886388,6,4,2843
276,0.09708054871614492,6,8,2843
550,0.19345761519521631,6,4,2843
601,0.21139641224059091,6,5,2843
274,0.0963770664790714,6,7,2843
650,0.228631727048892,6,6,2843
1110,0.3904326415758002,7,6,2843
37,0.013014421385860007,7,8,2843
1110,0.3904326415758002,7,6,2843
37,0.013014421385860007,7,8,2843
106,0.037284558564896236,5,7,2843
106,0.037284558564896236,5,7,2843
106,0.037284558564896236,5,7,2843
1439,0.5061554695743933,5,6,2843
0,0.0,0,111.7,2843
0,0.0,0,6.27,2843
0,0.0,0,316.06,2843
0,0.0,0,723.21,2843
